City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,Molde,62.7375,7.1591,13.17,94,75,4.12,NO,1691597033
305,Saldanha,-33.0117,17.9442,24.03,79,0,4.29,ZA,1691596874
306,Isla Mujeres,21.2311,-86.731,33.03,69,27,3.36,MX,1691597034
307,Lincoln,40.8,-96.667,22.61,93,100,3.6,US,1691596820
308,Harstad,68.799,16.5293,22.91,51,100,8.05,NO,1691597034
309,Boa Vista,2.8197,-60.6733,29.99,66,40,3.6,BR,1691596865
310,Noshiro,40.2039,140.0242,26.39,86,11,2.94,JP,1691597034
311,Laojunmiao,39.8333,97.7333,19.84,55,12,1.98,CN,1691596855
312,New Norfolk,-42.7826,147.0587,12.72,64,100,2.16,AU,1691597035
313,Port Elizabeth,-33.918,25.5701,17.83,77,40,8.75,ZA,1691596398
314,Shizuishan,39.2333,106.7694,29.19,48,76,6.21,CN,1691597035
315,Nova Vicosa,-17.8919,-39.3719,25.57,62,8,4.03,BR,1691597036
316,Bayanhongor,46.7167,100.1167,10.94,85,22,0.98,MN,1691597036
317,El Alto,-4.2714,-81.2147,24.81,69,87,3.16,PE,1691596868
318,Port-Cartier,50.0334,-66.8654,15.42,98,100,5.6,CA,1691597036
319,Chos Malal,-37.3781,-70.2709,14.48,39,100,3.31,AR,1691597036
320,Shenjiamen,29.9576,122.298,27.08,89,2,5.35,CN,1691597036
321,Beloyarskiy,63.7119,66.6722,12.25,76,70,1.66,RU,1691597037
322,Zemio,5.0314,25.1361,23.79,89,99,1.1,CF,1691597037
323,Cockburn Town,21.4612,-71.1419,29.04,81,46,7.24,TC,1691596751
324,Anshun,26.25,105.9333,19.68,96,9,0.74,CN,1691597037
325,Cabo San Lucas,22.8909,-109.9124,34.78,70,0,8.23,MX,1691596228
326,Butterworth,5.3991,100.3638,29.02,88,40,3.13,MY,1691597037
327,Krasnobrodskiy,54.1581,86.4486,16.64,75,75,2.57,RU,1691597038
328,San Fernando,15.0286,120.6898,28.85,88,100,0.68,PH,1691597038
329,Adrar,20.5022,-10.0711,45.0,7,4,7.07,MR,1691597038
330,Taoudenni,22.6783,-3.9836,47.64,6,9,5.96,ML,1691597038
331,Poronaysk,49.2167,143.1167,14.23,93,100,0.79,RU,1691597039
332,Sur,22.5667,59.5289,31.01,70,27,1.72,OM,1691596846
333,Bugana,7.9992,7.5836,28.35,76,93,1.49,NG,1691597039
334,Mundri,-6.9558,111.71,23.58,78,88,2.67,ID,1691596522
335,Ilhabela,-23.7781,-45.3581,20.3,89,98,5.15,BR,1691596888
336,Mwene-Ditu,-7.0,23.45,30.52,21,1,1.28,CD,1691597039
337,Berdigestyakh,62.0989,126.6992,13.54,59,94,2.94,RU,1691597039
338,Gillette,44.2911,-105.5022,22.84,49,12,1.79,US,1691596810
339,Taksimo,56.3444,114.8794,18.51,63,97,0.9,RU,1691597040
340,Dexter,36.7959,-89.9579,21.92,75,100,5.99,US,1691596668
341,Flin Flon,54.7682,-101.865,12.91,58,20,3.6,CA,1691596771
342,Bubaque,11.2833,-15.8333,27.55,77,100,2.46,GW,1691597040
